url search;reference;title;author;rating;reviews_number;nothing
https://www.amazon.com/s?k=ikigai+by+h+ctor+garc+a+and+francesc+miralles&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Ikigai-audiobook/dp/B074WCX5X4/ref=sr_1_1?keywords=ikigai+by+h+ctor+garc+a+and+francesc+miralles&qid=1666540999&qu=eyJxc2MiOiIxLjM0IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-1;Ikigai: The Japanese Secret to a Long and Happy Life;Héctor García, Walter Dixon, et al.;4,6;40497
https://www.amazon.com/s?k=the+intelligent+investor+rev+ed+by+benjamin+graham+jason+zweig+et+al&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Intelligent-Investor-Definitive-Investing-Essentials/dp/0060555661/ref=sr_1_1?keywords=the+intelligent+investor+rev+ed+by+benjamin+graham+jason+zweig+et+al&qid=1666541001&s=books&sr=1-1;The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing;Benjamin Graham , Jason Zweig , et al.;4,7;39567
https://www.amazon.com/s?k=the+secret+by+rhonda+byrne&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/The-Secret-Rhonda-Byrne-audiobook/dp/B000LC3JX2/ref=sr_1_1?keywords=the+secret+by+rhonda+byrne&qid=1666541002&qu=eyJxc2MiOiIyLjM2IiwicXNhIjoiMS45MiIsInFzcCI6IjEuOTUifQ%3D%3D&s=books&sr=1-1;The Secret;Rhonda Byrne and Simon & Schuster Audio;4,6;36445
https://www.amazon.com/s?k=the+richest+man+in+babylon+by+george+s+clason&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Richest-Man-Babylon-Magic-Story/dp/1939438632/ref=sr_1_1?keywords=the+richest+man+in+babylon+by+george+s+clason&qid=1666541003&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sr=1-1;The Richest Man In Babylon - Original Edition;George S Clason;4,7;9225
https://www.amazon.com/s?k=think+like+a+monk+by+jay+shetty&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Think-Like-Monk-Train-Purpose/dp/B07YF3VPSP/ref=sr_1_1?keywords=think+like+a+monk+by+jay+shetty&qid=1666541005&qu=eyJxc2MiOiIxLjcxIiwicXNhIjoiMS43NyIsInFzcCI6IjEuODEifQ%3D%3D&s=books&sr=1-1;Think Like a Monk: Train Your Mind for Peace and Purpose Every Day;Jay Shetty and Simon & Schuster Audio;4,8;30974
https://www.amazon.com/s?k=make+your+bed+by+admiral+william+h+mcraven&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Make-Your-Bed-Little-Things/dp/1455570249/ref=sr_1_1?keywords=make+your+bed+by+admiral+william+h+mcraven&qid=1666541006&qu=eyJxc2MiOiIxLjU2IiwicXNhIjoiMS4wMCIsInFzcCI6IjAuOTIifQ%3D%3D&s=books&sr=1-1;Make Your Bed: Little Things That Can Change Your Life...And Maybe the World;Admiral William H. McRaven;4,7;30154
https://www.amazon.com/s?k=thinking+fast+and+slow+by+daniel+kahneman&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Thinking-Fast-and-Slow-audiobook/dp/B005Z9GAJG/ref=sr_1_1?keywords=thinking+fast+and+slow+by+daniel+kahneman&qid=1666541008&qu=eyJxc2MiOiIyLjEzIiwicXNhIjoiMS43MyIsInFzcCI6IjEuNzUifQ%3D%3D&s=books&sr=1-1;Thinking, Fast and Slow;Daniel Kahneman, Patrick Egan, et al.;4,6;30027
https://www.amazon.com/s?k=the+gifts+of+imperfection+by+brene+brown&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Gifts-Imperfection-10th-Anniversary-Features/dp/B085LLCPT5/ref=sr_1_1?keywords=the+gifts+of+imperfection+by+brene+brown&qid=1666541009&qu=eyJxc2MiOiIyLjE1IiwicXNhIjoiMS45MyIsInFzcCI6IjEuNzAifQ%3D%3D&s=books&sr=1-1;The Gifts of Imperfection, 10th Anniversary Edition: Features a New Foreword;Brené Brown and Random House Audio;4,7;29892
https://www.amazon.com/s?k=the+psychology+of+money+by+morgan+housel&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Psychology-Money-Timeless-Lessons-Happiness/dp/B08D9WJ9G8/ref=sr_1_1?keywords=the+psychology+of+money+by+morgan+housel&qid=1666541011&qu=eyJxc2MiOiIxLjY4IiwicXNhIjoiMS42NCIsInFzcCI6IjEuNzEifQ%3D%3D&s=books&sr=1-1;The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness;Morgan Housel, Chris Hill, et al.;4,7;29579
https://www.amazon.com/s?k=never+split+the+difference+by+chris+voss+and+tahl+raz&i=stripbooks-intl-ship&ref=nb_sb_noss_1;https://www.amazon.com/Workbook-Never-Split-Difference-Chris/dp/B0B2HYL7VR/ref=sr_1_1?keywords=never+split+the+difference+by+chris+voss+and+tahl+raz&qid=1666541012&qu=eyJxc2MiOiIxLjAwIiwicXNhIjoiMC44NiIsInFzcCI6IjAuNzIifQ%3D%3D&s=books&sr=1-1;Workbook on Never Split the Difference by Chris Voss & Tahl Raz’s : Negotiating As If Your Life Depended On It;Rocket Companions;3,8;6
